Date	Time	Severity	PID	TID	Function	Message
08-05-2026	13:18:12.992	 INFO	 63332	 49060	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
08-05-2026	13:18:12.994	 INFO	 63332	 11356	LateInitialization	"Intialization..."
08-05-2026	13:18:12.994	 INFO	 63332	 11356	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
08-05-2026	13:18:12.995	 INFO	 63332	 11356	LateInitialization	"IsExplorer = 0"
08-05-2026	13:18:12.996	 INFO	 63332	 11356	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
08-05-2026	13:18:12.996	 INFO	 63332	 11356	LateInitialization	"Intialization finished"
08-05-2026	13:18:56.028	 INFO	 53392	 71504	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
08-05-2026	13:18:56.031	 INFO	 53392	 71728	LateInitialization	"Intialization..."
08-05-2026	13:18:56.033	 INFO	 53392	 71728	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\grep.exe"
08-05-2026	13:18:56.034	 INFO	 53392	 71728	LateInitialization	"IsExplorer = 0"
08-05-2026	13:18:56.035	 INFO	 53392	 71728	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
08-05-2026	13:18:56.036	 INFO	 53392	 71728	LateInitialization	"Intialization finished"
